city ,latitude,longitude,sexo,amount_loss,time,year
Vila Sílvia,-23.4987154,-46.4999987,1,200,45:00.0,2010
Vila Mariana,-23.5908683,-46.6338359,0,850,15:00.0,2010
Bela Vista,-23.5545098,-46.6476898,1,2000,15:00.0,2010
Jabaquara,-23.6348042,-46.6400398,1,1000,00:00.0,2010
"Jardim Dona Sinhá",-23.5987697,-46.5078234,0,500,15:00.0,2010
República,-23.5468304,-46.6392556,0,10,00:00.0,2010
Jardim Esmeralda,-23.5756163,-46.7404432,0,900,00:00.0,2010
Parque da Mooca,-23.5758951,-46.5870209,1,1000,00:00.0,2010
Itaquera,-23.5373489,-46.4730581,0,500,45:00.0,2010
Parada Inglesa,-23.48543,-46.6115009,1,500,00:00.0,2010
"Brás",-23.5426864,-46.6169095,0,500,00:00.0,2010
Consolação,-23.5585996,-46.6597881,0,1600,00:00.0,2010
Ipiranga,-23.5961791,-46.6140448,0,1000,15:00.0,2010
Vila Romana,-23.5260598,-46.6931726,1,1000,00:00.0,2010
Vila Lisboa,-23.6907229,-46.700794,0,1000,30:00.0,2010
Jabaquara,-23.6371747,-46.6488551,0,600,00:00.0,2010
Parque Novo Santo Amaro,-23.7000093,-46.7882038,1,100,30:00.0,2010
Liberdade,-23.5628769,-46.6397418,1,700,30:00.0,2010
Jardim Independência,-23.5844352,-46.5621537,0,500,00:00.0,2010
Tatuapé,-23.5460867,-46.5741656,1,35,30:00.0,2010
Bela Vista,-23.5564739,-46.6473989,1,20000,15:00.0,2010
Jardim Pedreira,-23.6255113,-46.6155574,0,500,15:00.0,2010
Vila Nova Conceicao,-23.5892349,-46.6763418,1,1000,30:00.0,2010
Pedreira,-23.7134722,-46.6349782,0,300,00:00.0,2010
Paraíso,-23.5756161,-46.6412587,1,2000,30:00.0,2010
Bela Vista,-23.5545098,-46.6476898,1,4000,00:00.0,2010
Bela Vista,-23.5555236,-46.6467095,0,1000,30:00.0,2010
Vila Olímpia,-23.5983856,-46.679802,0,1200,00:00.0,2010
Artur Alvim,-23.5497933,-46.4820406,1,70,15:00.0,2010
Bela Vista,-23.5657138,-46.6464358,1,9740,00:00.0,2010
Santo Amaro,-23.6523462,-46.7094127,1,6000,00:00.0,2010
Vila Butanta,-23.5695472,-46.7436948,0,1300,30:00.0,2010
Campo Limpo,-23.6389285,-46.775801,0,0,00:00.0,2010
Luz,-23.5353564,-46.6327596,1,0,00:00.0,2010
ジャルジン・ジャバクアラ,-23.6622136,-46.661397,0,500,00:00.0,2010
Jardim Monte Azul,-23.6484864,-46.7385625,0,1500,30:00.0,2010
Jardim Europa,-23.5761352,-46.6940318,0,0,30:00.0,2010
Parque Residencial Cocaia,-23.7477356,-46.6650107,1,1700,15:00.0,2010
Jardim do Mar,-23.6937432,-46.5547702,1,17.283,00:00.0,2010
Jardim Etelvina,-23.5285038,-46.422136,1,350,45:00.0,2010
Vila Independência,-23.5858939,-46.5616497,0,400,30:00.0,2010
São Paulo,-23.532824,-46.657392,0,600,30:00.0,2010
Jardim Aricanduva,-23.5616682,-46.5177166,1,10000,00:00.0,2010
Tatuapé,-23.5352847,-46.5747795,0,500,00:00.0,2010
Jardim Adutora,-23.6091635,-46.5056483,1,200,00:00.0,2010
Cidade Vargas,-23.6467125,-46.6367685,0,2000,45:00.0,2010
Bosque da Saúde,-23.6102713,-46.6286081,1,4200,00:00.0,2010
Vila Cosmopolita,-23.561554,-46.426199,0,500,30:00.0,2010
"Brás",-23.5489347,-46.6101909,0,1000,30:00.0,2010
Jardim Arpoador,-23.5941027,-46.7888156,1,500,45:00.0,2010
Vila Prudente,-23.5796251,-46.5717204,1,0,30:00.0,2010
Jardim Nélia,-23.5123696,-46.3760468,1,0,00:00.0,2010
Lajeado,-23.589376,-46.8952724,1,6000,00:00.0,2010
Vila Cardoso Franco,-23.6188965,-46.5035606,1,0,15:00.0,2010
Vila Mariana,-23.59714633,-46.62833054,0,2000,00:00.0,2010
Parque do Morumbi,-23.6348,-46.7219478,1,0,00:00.0,2010
Vila Indiana,-23.5718601,-46.7241673,1,1000,00:00.0,2010
Vila Mariana,-23.5804964,-46.6383878,1,3000,30:00.0,2010
Tatuapé,-23.5430761,-46.5669043,0,8000,30:00.0,2010
Vila Andrade,-23.6169578,-46.7315543,1,25000,15:00.0,2010
Vila Ipojuca,-23.5311429,-46.7033749,0,700,00:00.0,2010
Mooca,-23.5670608,-46.603902,1,6000,00:00.0,2010
Vila Brasilio Machado,-23.6104265,-46.6097021,0,300,30:00.0,2010
Cidade São Mateus,-23.5860887,-46.5003858,0,1000,15:00.0,2010
Parque Pinheiros,-23.6268868,-46.782864,1,0,00:00.0,2010
Mooca,-23.5645826,-46.6027274,0,1200,00:00.0,2010
Santana,-23.5008727,-46.6293734,0,0,00:00.0,2010
Jardim Peri Peri,-23.5849453,-46.7362474,1,6000,00:00.0,2010
Vila Guarani (Zona Sul),-23.6333856,-46.6385602,1,300,00:00.0,2010
Jardim Santa Tereza,-23.6835041,-46.8023655,1,0,30:00.0,2010
Centro,-23.5491092,-46.6426633,1,0,15:00.0,2010
Jardim Tango,-23.5785249,-46.5183331,0,650,45:00.0,2010
Campininha,-23.667048,-46.6801071,1,500,30:00.0,2010
Higienópolis,-23.552498,-46.6624838,0,2800,30:00.0,2010
Vila Moinho Velho,-23.6084274,-46.6040568,1,2100,00:00.0,2010
Vila Prudente,-23.6001305,-46.576717,1,0,45:00.0,2010
Parque Sao Rafael,-23.62457734,-46.4710867,1,20,35:00.0,2010
Bela Vista,-23.5484387,-46.6390734,0,1000,00:00.0,2010
Vila Alto de Santo Andre,-23.6278697,-46.5210122,1,0,00:00.0,2010
Santana,-23.5025846,-46.6247544,0,1190,30:00.0,2010
Quinta da Paineira,-23.58756651,-46.5899146,1,0,00:00.0,2010
Parque Sao Rafael,-23.62734682,-46.47133447,1,20,35:00.0,2010
Pacaembu,-23.5520784,-46.6751942,0,1500,00:00.0,2010
Vila Brasilio Machado,-23.6126058,-46.6126534,0,0,00:00.0,2010
Bela Vista,-23.5594632,-46.6542459,1,0,00:00.0,2010
Jardim Penha,-23.5016279,-46.4924554,1,900,00:00.0,2010
Paraíso,-23.5774008,-46.6414032,0,500,10:00.0,2010
Vila Brasilina,-23.6319256,-46.6141785,0,500,22:00.0,2010
Consolação,-23.5678009,-46.6594644,1,1500,30:00.0,2010
República,-23.5438163,-46.639983,0,0,15:00.0,2010
Alto de Pinheiros,-23.5421868,-46.7273686,0,400,30:00.0,2010
Jabaquara,-23.6347223,-46.6462814,0,500,30:00.0,2010
Santana,-23.4842342,-46.6340742,0,7000,02:00.0,2010
Consolação,-23.5557778,-46.6575522,1,2500,29:00.0,2010
Lajeado,-23.5276706,-46.4178529,0,1000,10:00.0,2010
Penha,-23.5164839,-46.5541926,0,3000,20:00.0,2010
Santa Cecília,-23.541645,-46.6478095,1,800,30:00.0,2010
São Paulo,-23.5474667,-46.640262,1,350,30:00.0,2010
Pinheiros,-23.5526714,-46.694738,1,0,13:00.0,2010
Perdizes,-23.5300832,-46.6806507,1,3000,30:00.0,2010
Consolação,-23.5554377,-46.6590525,0,300,30:00.0,2010
Vila Sônia,-23.6077134,-46.7256037,1,0,30:00.0,2010
Jabaquara,-23.6447613,-46.6491766,1,2000,30:00.0,2010
Cidade Vargas,-23.6462971,-46.6374572,0,2000,30:00.0,2010
São Paulo,-23.557494,-46.66088,0,800,45:00.0,2010
Bela Vista,-23.5630735,-46.6543307,1,1200,01:00.0,2010
Consolação,-23.5519145,-46.6525243,1,2500,30:00.0,2010
São Paulo,-23.5963653,-46.6919357,0,3500,30:00.0,2010
Saúde,-23.6254039,-46.6300662,0,0,40:00.0,2010
Lapa,-23.5181196,-46.7036564,1,600,00:00.0,2010
Jardim Dabril,-23.573925,-46.7796689,1,7000,15:00.0,2010
Consolação,-23.5538358,-46.6557076,0,2500,35:00.0,2010
Vila Leopoldina,-23.526849,-46.7264232,0,1500,30:00.0,2010
Perdizes,-23.5366175,-46.6881579,1,0,01:00.0,2010
Sé,-23.5435246,-46.6324121,0,1050.2,30:00.0,2010
República,-23.5473191,-46.6476721,1,0,20:00.0,2010
Vila do Castelo,-23.6752225,-46.6701157,0,0,00:00.0,2010
Ipiranga,-23.5689023,-46.608039,0,0,35:00.0,2010
Moema,-23.6067498,-46.6576008,0,3000,50:00.0,2010
V Prudente,-23.5856128,-46.5809618,0,500,52:00.0,2010
Brooklin,-23.6013073,-46.684428,1,1800,28:00.0,2010
Saúde,-23.6198226,-46.6359358,1,4000,25:00.0,2010
República,-23.5464453,-46.6465657,0,500,01:00.0,2010
Vila Mariana,-23.5698169,-46.6511085,1,1500,20:00.0,2010
Rua Francisco dos Santos,-23.572065,-46.7351568,0,1300,00:00.0,2010
Avenida Corifeu de Azevedo Marques,-23.568659,-46.7417758,0,5,01:00.0,2010
Cambuci,-23.5677813,-46.6217543,1,500,54:00.0,2010
Lapa,-23.5349055,-46.69659,1,250,15:00.0,2010
Vila Gomes,-23.5736723,-46.7311041,1,150,15:00.0,2010
Penha,-23.5232075,-46.5217304,1,11000,30:00.0,2010
Santo Amaro,-23.6363821,-46.715515,1,300,30:00.0,2010
Pinheiros,-23.5624831,-46.6816488,0,5000,02:00.0,2010
Saúde,-23.6165365,-46.6425653,0,1000,59:00.0,2010
"Brás",-23.5540921,-46.6252694,0,0,00:00.0,2010
Praça da Reitoria,-23.5606569,-46.7199928,0,400,00:00.0,2010
Bela Vista,-23.5681611,-46.6439827,1,0,45:00.0,2010
Campos Elíseos,-23.5347667,-46.6472805,1,500,45:00.0,2010
Vila Azevedo,-23.5414973,-46.5706509,1,800,15:00.0,2010
Butantã,-23.5620345,-46.7243836,0,1500,15:00.0,2010
Vila Campanela,-23.5396025,-46.462839,0,500,00:00.0,2010
República,-23.5460491,-46.6433101,1,1200,00:00.0,2010
Vila Campestre,-23.6589932,-46.6485276,0,200,00:00.0,2010
Butantã,-23.5558978,-46.7307583,1,2000,30:00.0,2010
São Paulo,-23.5703122,-46.7344148,0,80,30:00.0,2010
Jardim Caravelas,-23.6365333,-46.716898,1,1000,00:00.0,2010
Vila Campestre,-23.6585635,-46.647409,0,2000,00:00.0,2010
Itaquera,-23.5352496,-46.4642715,1,1500,00:00.0,2010
Jardim das Vertentes,-23.5939241,-46.7453337,1,800,00:00.0,2010
Vila Mariana,-23.5734691,-46.6436636,0,1200,30:00.0,2010
Jardim Silva Teles,-23.5010586,-46.4090242,1,3000,30:00.0,2010
Vila Vermelha,-23.6068226,-46.5991435,0,1300,45:00.0,2010
Paraíso do Morumbi,-23.6265211,-46.7235495,1,40000,15:00.0,2010
Jardim São Jorge,-23.5877687,-46.7879734,1,1000,00:00.0,2010
São Paulo,-23.5502458,-46.6250928,1,800,30:00.0,2010
Jabaquara,-23.6353779,-46.6487183,1,250,00:00.0,2010
Jardim Santa Margarida,-23.6784817,-46.7527746,0,1500,30:00.0,2010
Jardim Novo Santo Amaro,-23.6616375,-46.7400515,1,700,00:00.0,2010
Cambuci,-23.5568965,-46.6270591,0,2500,45:00.0,2010
Avenida Professor Lúcio Martins Rodrigues,-23.5572244,-46.7267798,1,7000,00:00.0,2010
Parque Guaianazes,-23.529353,-46.4130661,1,350,45:00.0,2010
Brooklin Paulista,-23.6038687,-46.6902991,1,500,30:00.0,2010
República,-23.5417912,-46.6475722,0,30,00:00.0,2010
Vila Moraes,-23.6251228,-46.6098549,1,3000,00:00.0,2010
Consolação,-23.551132,-46.6565304,1,3500,00:00.0,2010
Vila Sônia,-23.5950322,-46.7321125,0,800,00:00.0,2010
Mooca,-23.5545333,-46.6097721,0,80,00:00.0,2010
Planalto Paulista,-23.6128737,-46.6718678,0,6000,45:00.0,2010
Santo Amaro,-23.6448465,-46.7235821,0,2000,00:00.0,2010
Jaguare,-23.5443752,-46.7492528,1,8000,30:00.0,2010
"Chácara Santa Maria",-23.6866309,-46.7950355,1,0,00:00.0,2010
Jardim Miragaia,-23.4969525,-46.4010473,0,1511,00:00.0,2010
São Paulo,-23.5357333,-46.6732842,0,1000,00:00.0,2010
Tatuapé,-23.5375836,-46.5771122,1,1200,00:00.0,2010
Jardim Soares,-23.5505484,-46.4044222,1,4200,15:00.0,2010
Parque São Lucas,-23.5947797,-46.5473311,1,70,00:00.0,2010
Pinheiros,-23.56471,-46.6810978,0,5000,00:00.0,2010
Indianópolis,-23.6173041,-46.6489964,0,250,00:00.0,2010
Santo Amaro,-23.6513919,-46.7073092,0,2800,30:00.0,2010
Vila Leopoldina,-23.5324653,-46.733632,1,500,00:00.0,2010
Conjunto Residencial Butanta,-23.5743481,-46.7240892,0,35000,00:00.0,2010
Rua do Matão,-23.5595563,-46.737754,1,100,45:00.0,2010
Cidade Líder,-23.556959,-46.4712652,1,10000,00:00.0,2010
São Paulo,-23.5374093,-46.7206734,1,500,00:00.0,2010
Rio Pequeno,-23.57167882,-46.73959294,1,100,50:00.0,2010
República,-23.5451724,-46.643075,1,1200,00:00.0,2010
Vila Re,-23.5204463,-46.4993122,1,12500,30:00.0,2010
Vila Regente Feijó,-23.5639996,-46.5609736,0,3500,00:00.0,2010
Rio Bonito,-23.7245293,-46.7103127,1,1500,45:00.0,2010
Cursino,-23.6301873,-46.6204938,0,6,01:00.0,2010
Jardim Dabril,-23.574457,-46.7798757,1,4000,00:00.0,2010
セルケイラ・セーザル,-23.5514275,-46.6479938,1,0,00:00.0,2010
Tremembé,-23.4610852,-46.6101653,1,6000,30:00.0,2010
Consolação,-23.5540214,-46.659178,0,800,30:00.0,2010
Lapa,-23.5221347,-46.7004994,1,1200,30:00.0,2010
Cerqueira César,-23.5655957,-46.6575171,0,0,30:00.0,2010
Itaquera,-23.5319264,-46.4450793,0,3,00:00.0,2010
Vila Clementino,-23.5912307,-46.6445439,1,0,30:00.0,2010
Rua Coronel Camisão,-23.5755971,-46.7324615,1,0,45:00.0,2010
Cambuci,-23.5593432,-46.614664,1,3000,15:00.0,2010
Rua Quinze de Novembro,-23.5486872,-46.6338617,1,600,15:00.0,2010
Consolação,-23.5558779,-46.6563388,1,15,45:00.0,2010
Liberdade,-23.5558931,-46.6286762,1,400,15:00.0,2010
Rua Avanhandava,-23.5514726,-46.6470844,1,5000,45:00.0,2010
Vila Andrade,-23.6261837,-46.7339154,1,0,30:00.0,2010
Carrão,-23.5462,-46.54006,1,250,26:00.0,2010
Barra Funda,-23.52903229,-46.66892793,1,4.2,00:00.0,2010
Vila Mariana,-23.57631097,-46.64111084,0,1.1,05:00.0,2010
Vila Mariana,-23.58268584,-46.62333693,0,2320,10:00.0,2010
Campo Grande,-23.67356266,-46.68749035,0,8,20:00.0,2010
Santana,-23.5057505,-46.6389571,1,0,00:00.0,2010
Cidade Ademar,-23.66246562,-46.6740094,0,2.5,10:00.0,2010
Campo Grande,-23.6652765,-46.6817135,0,2,30:00.0,2010
Jardim Bonfiglioli,-23.579254,-46.7329943,0,45000,15:00.0,2010
Vila Lageado,-23.5539052,-46.7549337,1,3000,00:00.0,2010
Jardim do Mar,-23.6937432,-46.5547702,1,15,30:00.0,2010
Brooklin Paulista,-23.6167195,-46.6834241,1,180,30:00.0,2010
Planalto Paulista,-23.62011951,-46.65247913,0,40000,00:00.0,2010
Saúde,-23.61672134,-46.63231848,0,100,00:00.0,2010
Rio Pequeno,-23.58227387,-46.77273321,1,1.5,16:00.0,2010
Cidade Nova Heliópolis,-23.6020513,-46.5980729,1,0,00:00.0,2010
Jabaquara,-23.6387652,-46.6388724,1,2500,15:00.0,2010
Vila Cordeiro,-23.6176039,-46.6913867,1,900,30:00.0,2010
Cidade Nova São Miguel,-23.5060689,-46.4324269,1,1000,00:00.0,2010
Vila Vera,-23.6197527,-46.6041403,0,1000,00:00.0,2010
Jardim Cotinha,-23.5070272,-46.4861323,0,800,15:00.0,2010
Vila Campestre,-23.6543511,-46.6469949,1,5000,45:00.0,2010
São Paulo,-23.5322917,-46.5289278,0,0,00:00.0,2010
Vila Mariana,-23.5935468,-46.636357,1,300,30:00.0,2010
Vila das Belezas,-23.6719814,-46.7871768,1,720,15:00.0,2010
Centro,-23.5519681,-46.6361489,0,10,30:00.0,2010
Vila Madalena,-23.5540622,-46.6872818,1,1500,00:00.0,2010
Butantã,-23.57037,-46.7058349,0,700,00:00.0,2010
Jardim América da Penha,-23.5151137,-46.5556282,1,720,00:00.0,2010
Paraisópolis,-23.6084599,-46.7235426,1,1000,00:00.0,2010
Vila Plana,-23.640577,-46.7453716,0,800,00:00.0,2010
Vila Guilherme,-23.5056485,-46.6083113,1,25000,00:00.0,2010
Jardim Paulista,-23.5646537,-46.6547223,1,30000,00:00.0,2010
Vila Polopoli,-23.5726939,-46.7479371,0,0,45:00.0,2010
Campo Grande,-23.6675184,-46.6827048,1,800,30:00.0,2010
Bela Vista,-23.5598477,-46.6552722,1,1500,30:00.0,2010
Higienópolis,-23.5461559,-46.6527823,1,2500,45:00.0,2010
Conjunto Habitacional Fazenda do Carmo,-23.5692132,-46.4229144,0,400,00:00.0,2010
Ipiranga,-23.5910081,-46.6132373,1,1500,15:00.0,2010
São Paulo,-23.5847946,-46.5990942,0,1000,45:00.0,2010
Jabaquara,-23.6440234,-46.6449752,0,300,30:00.0,2010
Santa Teresinha,-23.4959433,-46.6364794,1,50000,00:00.0,2010
Itaquera,-23.5474942,-46.453229,0,800,00:00.0,2010
Vila Indiana,-23.5710304,-46.7280873,1,800,15:00.0,2010
São Paulo,-23.570202,-46.7428685,1,100,00:00.0,2010
Vila Indiana,-23.5720668,-46.7289411,0,1000,30:00.0,2010
Santo Amaro,-23.6284728,-46.7100512,1,2000,30:00.0,2010
Socorro,-23.6718961,-46.7144651,1,10,30:00.0,2010
São Paulo,-23.5993379,-46.6383806,1,1500,00:00.0,2010
Vila Olímpia,-23.5943618,-46.6834975,1,1200,15:00.0,2010
Vila Taquari,-23.5169347,-46.4517068,0,150,30:00.0,2010
Vila Brasilina,-23.6214123,-46.6194533,0,30000,00:00.0,2010
Consolação,-23.5551285,-46.6624347,0,700,45:00.0,2010
Santa Ifigênia,-23.5391574,-46.6385297,1,400,30:00.0,2010
São Paulo,-23.508496,-46.6877116,1,25000,30:00.0,2010
Vila Alexandria,-23.6393094,-46.6657373,0,900,00:00.0,2010
Vila São Luís(Zona Oeste),-23.5725114,-46.7416116,0,2000,15:00.0,2010
São Paulo,-23.589339,-46.6518759,1,40000,00:00.0,2010
Fazenda Morumbi,-23.6113392,-46.7188342,1,11,15:00.0,2010
Jardim Esmeralda,-23.5816796,-46.7545418,1,3000,00:00.0,2010
Indianópolis,-23.5984568,-46.6609932,1,0,00:00.0,2010
Cidade Jardim,-23.5928897,-46.6955238,1,3000,00:00.0,2010
Vila Sônia,-23.5948789,-46.7367881,1,730,45:00.0,2010
Jardim Comercial,-23.6735655,-46.7858121,1,1500,00:00.0,2010
Jardim Dom José,-23.6771322,-46.7967702,0,1000,45:00.0,2010
Caxingui,-23.5847578,-46.7194702,1,500,30:00.0,2010
Vila Almeida,-23.647756,-46.7237841,1,600,00:00.0,2010
Cidade Jardim,-23.5928897,-46.6955238,0,1000,15:00.0,2010
Vila Formosa,-23.5673212,-46.5410378,1,20000,00:00.0,2010
Vila Guilhermina,-23.531546,-46.5198873,1,5000,00:00.0,2010
Avenida das Nações Unidas,-23.5515852,-46.7222827,1,800,45:00.0,2010
República,-23.5431698,-46.6412833,0,1,45:00.0,2010
Vila Prudente,-23.5806788,-46.5747567,1,800,00:00.0,2010
Jardim Aricanduva,-23.5670238,-46.5107856,1,40,30:00.0,2010
Cidade Nova Heliópolis,-23.6020513,-46.5980729,0,0,45:00.0,2010
Americanópolis,-23.6681014,-46.6362265,1,1000,30:00.0,2010
Lauzane Paulista,-23.4810089,-46.6447505,1,1000,00:00.0,2010
Lapa,-23.5207004,-46.7012093,1,1200,45:00.0,2010
Campo Grande,-23.6704771,-46.7016956,1,2000,00:00.0,2010
Jardim Rizzo,-23.5716836,-46.7307856,0,500,00:00.0,2010
São Paulo,-23.65404,-46.711385,0,14000,30:00.0,2010
Santana,-23.4972389,-46.6341554,0,500,00:00.0,2010
Perdizes,-23.5357762,-46.6724238,1,1000,00:00.0,2010
Jardim Jaú (Zona Leste),-23.51390244,-46.54508281,1,1200,10:00.0,2010
São Mateus,-23.59283967,-46.50028004,1,40,30:00.0,2010
Rio Pequeno,-23.5726106,-46.74379643,1,0,00:00.0,2010
Vila Campestre,-23.64944433,-46.64223477,0,7000,30:00.0,2010
Vila Mariana,-23.5972342,-46.62855081,0,300,37:00.0,2010
Santa Ifigênia,-23.5425409,-46.644215,1,4,30:00.0,2010
Mooca,-23.57461392,-46.58729973,0,3.9,00:00.0,2010
Mooca,-23.56497927,-46.59549938,0,3.899,00:00.0,2010
Vila Sonia,-23.5877314,-46.7268101,0,100,00:00.0,2010
Vila Carrao,-23.5416907,-46.5489751,1,1000,45:00.0,2010
Jardim Sao Paulo,-23.4904079,-46.6163582,0,4000,00:00.0,2010
"Brás",-23.5486583,-46.6257602,1,6000,00:00.0,2010
Santa Cecilia,-23.533883,-46.6561863,0,1000,30:00.0,2010
Luz,-23.5417267,-46.630041,1,150,15:00.0,2010
Vila Hamburguesa,-23.5395327,-46.7281498,1,1500,00:00.0,2010
Santa Teresinha,-23.4961576,-46.6439834,1,3600,45:00.0,2010
Vila Andrade,-23.6374931,-46.7389308,0,1800,15:00.0,2010
"Brás",-23.5416868,-46.6121279,1,2000,00:00.0,2010
Jardim Santo Amaro,-23.6516033,-46.6967833,1,5000,00:00.0,2010
Bela Vista,-23.5603083,-46.6574465,0,4000,45:00.0,2010
Bela Vista,-23.5744461,-46.6416278,0,3000,00:00.0,2010
São Paulo,-23.6111482,-46.6326841,1,10000,00:00.0,2010
Parque dos Bancarios,-23.5939808,-46.5089403,1,3000,30:00.0,2010
Bela Vista,-23.5575211,-46.6602807,0,3500,45:00.0,2010
Vila Prudente,-23.5957149,-46.5831983,1,0,45:00.0,2010
Av. Guido Caloi,-23.6557597,-46.7208988,0,2000,30:00.0,2010
Butantã,-23.5706832,-46.7063685,0,2550,00:00.0,2010
Tatuapé,-23.5398395,-46.576325,0,200,15:00.0,2010
Luz,-23.5188529,-46.6250933,0,0,00:00.0,2010
Rua Muniz de Sousa,-23.56991,-46.6273944,1,35000,00:00.0,2010
Rua Gonçalves Dias,-23.7159813,-46.5448786,0,3000,00:00.0,2010
Planalto Paulista,-23.6220706,-46.6454883,1,120,00:00.0,2010
Parque Regina,-23.6338157,-46.7579762,1,900,30:00.0,2010
Parque Sao Domingos,-23.5055765,-46.7380169,1,7,45:00.0,2010
Tatuapé,-23.551952,-46.5623315,0,3000,30:00.0,2010
Conjunto Habitacional Fazenda do Carmo,-23.568091,-46.4224395,0,1500,00:00.0,2010
Saúde,-23.6197308,-46.617394,1,0,30:00.0,2010
Ipiranga,-23.5746547,-46.6045951,0,1000,00:00.0,2010
Ipiranga,-23.5987652,-46.5971363,1,0,00:00.0,2010
Ipiranga,-23.5978872,-46.5983488,0,3500,00:00.0,2010
Vila Sao Luis(Zona Oeste),-23.57137,-46.7425933,1,0,45:00.0,2010
Jardim Edith,-23.7214637,-46.6863724,1,800,00:00.0,2010
Retiro Morumbi,-23.6199868,-46.7015137,0,0,00:00.0,2010
Saúde,-23.6260801,-46.6347173,1,3,00:00.0,2010
Brooklin Paulista,-23.6126327,-46.6822313,1,0,30:00.0,2010
Parque Oratorio,-23.6323562,-46.5074062,1,2000,00:00.0,2010
Cambuci,-23.5575542,-46.6242337,1,900,08:00.0,2010
Lapa de Baixo,-23.5175023,-46.7037669,1,1000,30:00.0,2010
Pinheiros,-23.5644068,-46.6992482,0,5000,00:00.0,2010
Parque São Bento,-23.4398093,-47.4993204,1,6,00:00.0,2010
Planalto Paulista,-23.6195659,-46.6453241,0,400,00:00.0,2010
Jardim das Acacias,-23.6183459,-46.6991717,0,2,15:00.0,2010
